tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
192,8457,0.5025422726735249,0.20515549249142723,0.5533877261440227,0.24145678136455007,0.4553624216625281,0.07745063261203737,0.44070001182452406,0.0069764691971148166,0.019510464703795673,0.13137046233889085,0.16057703677426985,0.2069291711008632,0.2959678372945489
193,5185,0.45380906460945036,0.26846673095467694,0.5444551591128255,0.1870781099324976,0.457473481195757,0.4235294117647059,0.08717454194792672,0.010607521697203472,0.021215043394406944,0.13751205400192865,0.17974927675988428,0.23355834136933462,0.18071359691417552
194,294,0.5068027210884354,0.2789115646258503,0.5068027210884354,0.21428571428571427,0.5034013605442177,0.36394557823129253,0.07482993197278912,0.013605442176870748,0.04421768707482993,0.16326530612244897,0.1598639455782313,0.19047619047619047,0.20748299319727892
195,4548,0.46262093227792433,0.26011433597185574,0.5866314863676341,0.1532541776605101,0.5492524186455585,0.3555408970976253,0.06156552330694811,0.011433597185576077,0.022207563764291997,0.12379067722075637,0.17040457343887422,0.2231750219876869,0.22251539138082674
196,13986,0.4822679822679823,0.17503217503217502,0.5831545831545831,0.24181324181324182,0.6224796224796225,0.08944658944658945,0.25575575575575576,0.007364507364507365,0.024953524953524955,0.10546260546260547,0.15565565565565564,0.22036322036322037,0.3434863434863435
197,26619,0.5084338254630152,0.2224726698974417,0.5582103009128818,0.21931702918967655,0.5630564634283782,0.19234381456854127,0.19501108230962846,0.020323828844058756,0.02926481084939329,0.14482136819564972,0.17201998572448252,0.22164619256921747,0.2390397836132086
198,31661,0.5148605539938725,0.24481222955686807,0.565996020340482,0.18919175010264994,0.779507911942137,0.10050219512965478,0.09099523072549824,0.009759641198951391,0.019235021003758568,0.1252329364202015,0.16812482233662865,0.2117747386374404,0.2500552730488614
199,1555,0.490032154340836,0.27138263665594853,0.5331189710610933,0.1954983922829582,0.5787781350482315,0.3691318327974277,0.03022508038585209,0.01157556270096463,0.010289389067524116,0.13440514469453377,0.19935691318327975,0.20836012861736333,0.1864951768488746
200,11800,0.4833050847457627,0.1726271186440678,0.5563559322033899,0.2710169491525424,0.7782203389830509,0.13186440677966102,0.06491525423728814,0.007542372881355932,0.017457627118644067,0.09949152542372881,0.15542372881355931,0.23186440677966103,0.34059322033898304
201,8549,0.49420984910515847,0.19394081179085274,0.5553865949233828,0.2506725932857644,0.8029009240846883,0.1318282840098257,0.048777634811089016,0.005380746286115335,0.01111241080828167,0.0925254415721137,0.16387881623581704,0.23382851795531642,0.3158264124459001
202,4572,0.479002624671916,0.21303587051618547,0.5717410323709536,0.2152230971128609,0.6377952755905512,0.17519685039370078,0.157917760279965,0.0074365704286964126,0.021653543307086614,0.08180227471566054,0.13692038495188102,0.21281714785651792,0.35542432195975504
203,11083,0.44238924478931696,0.2097807452855725,0.5468735901831634,0.2433456645312641,0.23414238022196157,0.6914192908057385,0.0483623567626094,0.007218262203374537,0.01885771000631598,0.12613913200397003,0.19471262293602815,0.2526391771181088,0.2167283226563205
204,8489,0.5085404641300506,0.20355754505831075,0.5570738602897868,0.23936859465190247,0.9145953586994935,0.024266698079868063,0.05348097537990341,0.0018847920838732477,0.0057721757568618215,0.06490752738838497,0.15867593356107904,0.21981387678171752,0.35304511721050774
205,20184,0.4346016646848989,0.20868014268727705,0.5540031708283789,0.23731668648434404,0.2020412207689259,0.7332540626238605,0.03998216409036861,0.008125247720967102,0.016597304795877923,0.13381886642885454,0.20169441141498218,0.2612960760998811,0.19451050336900516
206,14004,0.48014852899171667,0.2310054270208512,0.55641245358469,0.21258211939445873,0.5524850042844901,0.3439731505284204,0.07255069980005713,0.009068837475007141,0.021922307912025134,0.11396743787489289,0.17052270779777207,0.22693516138246214,0.2575692659240217
